Month,infrastructure,military,military(2),school,Email,police,airport,airport(2),army,Email_file1,army_file2,road,road(2),road(3),Email_file2,sewage,system,system(2),regime,Email_file3,bakery,public,square,park,Email_file4,park_file5,housing complex,housing complex(2),housing complex(3),Email_file5,building,building(2),electricity,funding,Email_file6,funding_file7,recruitment,capacity,capacity(2),Email_file7,traffic,traffic(2),overcrowding,damage,Email_file8,broken,open,close,project,Email_file9,project_file10,wait,delay,delay(2),Email_file10,school_file11,hospital,hospital(2),bridge,Email_file11,primary,primary(2),secondary,tertiary,Email_file12,tertiary_file13,neglect,settlement,shop,Email_file13,resettlement,slum,removal,gentrification,Email_file14,interruption,pharmacy,sewerage,hotel,Email_file15,polling station,office,directorate,sanitation,Email_file16,suburb,suburb(2),suburbs,suburbs(2),Email_file17,insurance,power station,energy,fire,Email_file18,mall,inadequate,improvement,polling centre,Email_file19,housing,drinking water,salon,service,Email_file20,service_file21,communications,power lines,liquor store,Email_file21,bridge_file22,checkpoint,bus,university,Email_file22,liquor store_file23,taxi,unit,housing unit,Email_file23,housing crisis,crowd,clean,dirty,Email_file24,failure,rebuilding,equipment,treatment,Email_file25,internet,phone line,electricity generator,generator,Email_file26,college,nursery,dam,desalination,Email_file27,desalination_file28,factory,factory(2),Email_file28,university_file29,market,station,cafe,Email_file29,restaurant,restaurant(2),compound,port,Email_file30,port_file31,port(2),pipeline,border,Email_file31,border_file32,ministry,houses,house,Email_file32,clinic,clinic(2),pharmacy_file33,pharmacy(2),Email_file33,court,court(2),prison,prison(2),Email_file34
2017-04,0.0,0.0,0.0,38,18,41,0,0,0,78,0,32,27,27,78,0,30,30,0.0,37,0,22,0,30,80,30,0,0,0,80,0.0,0.0,0.0,0.0,0.5,0,0,0,0,80,0,0,0,0,80,0,60,0,19,57,26,0,24.0,0.0,80,38,6,8,0,18,30,29,0,0.0,50,0.0,0,0,0,80,0,0.0,0,0,80,0,0,0,41,80,0,45,0.0,0.0,39,0,0,0,0,80,0,0.0,0,0,32,0,0,0,0,80,0,0.0,0,37,57,37,0.0,0,0,57,0.0,0,3,16,6,0,0,0,0,50,0,0.0,0,0,38,0,0,0,23,80,9,0.0,0,4,6,0.5,0.0,0.0,0.0,0.5,0,0,0,80,16,0,0.0,0.0,6,0,0,0,0,80,0,0,0.0,0,80,0,0,0.0,51,80,0,0,0,0,80,0,0,0,0,80
2017-05,0.0,0.0,0.0,52,15,72,0,0,30,65,30,30,31,31,65,0,34,34,0.0,31,0,31,0,22,67,22,0,0,0,67,0.0,0.0,0.0,0.0,0.5,0,0,0,0,67,0,0,0,0,67,0,68,0,0,47,0,0,27.0,0.0,67,52,8,8,0,15,30,35,0,0.0,42,0.0,0,0,28,67,0,0.0,0,0,67,0,0,0,50,67,0,39,0.0,0.0,32,0,0,0,0,67,0,0.0,0,0,27,0,0,0,0,67,0,0.0,0,30,47,30,0.0,0,0,47,0.0,0,2,20,5,0,0,0,0,42,0,0.0,0,0,32,0,0,0,24,67,10,0.0,0,5,5,0.5,0.0,0.0,0.0,0.5,0,0,0,67,20,2,0.0,0.0,5,0,0,0,0,67,0,0,0.0,0,67,0,38,0.0,49,67,0,0,0,0,67,26,27,0,0,67
2017-06,0.0,0.0,0.0,51,13,38,0,0,40,57,40,39,30,38,57,0,27,30,0.0,27,0,55,0,23,58,23,0,0,0,58,0.5,0.5,0.0,0.0,0.5,0,0,0,0,58,0,0,0,0,58,0,41,20,26,41,36,0,0.0,0.0,58,51,11,13,0,13,29,36,0,0.0,37,0.0,0,0,45,58,0,0.0,0,0,58,0,0,0,58,58,0,40,0.0,0.0,28,0,0,0,0,58,0,0.0,0,13,23,0,0,0,0,58,0,0.0,0,52,41,52,0.0,0,0,41,0.0,0,7,11,5,0,0,0,0,36,0,0.0,0,0,28,0,0,0,0,58,9,0.0,0,4,5,1.0,0.0,0.0,0.0,0.5,0,0,0,58,11,0,2.0,0.0,5,0,0,0,0,58,0,0,0.0,0,58,0,40,0.0,56,58,0,0,0,0,58,0,0,0,0,58
2017-07,0.0,0.0,0.0,46,12,62,0,0,36,53,36,0,20,0,53,0,25,24,0.0,25,0,34,24,24,54,24,0,0,0,54,0.0,0.0,0.0,0.0,0.5,0,25,0,0,54,0,0,0,0,54,0,43,0,25,39,35,0,0.0,0.0,54,46,8,8,0,12,0,0,0,0.0,34,0.0,0,0,31,54,0,0.0,0,0,54,0,0,0,52,54,0,53,0.0,0.0,26,0,0,0,0,54,0,0.0,0,12,22,0,0,0,0,54,0,0.0,0,35,39,35,0.0,0,0,39,0.0,0,3,17,4,0,0,12,0,34,0,9.0,0,0,26,0,0,0,31,54,8,0.0,0,3,4,0.5,0.0,0.0,0.0,0.5,0,0,0,54,17,4,0.0,0.0,4,33,0,0,0,54,0,0,0.0,0,54,0,25,0.0,44,54,0,0,0,0,54,28,23,0,0,54
2017-08,0.0,0.0,0.0,50,8,56,0,0,31,33,31,22,27,23,33,0,33,29,0.0,16,0,49,0,54,34,54,0,0,0,34,0.5,0.5,0.0,0.0,0.5,0,24,0,0,34,0,0,0,0,34,0,52,0,13,24,18,0,0.0,0.0,34,50,9,6,0,8,14,16,0,0.0,22,0.0,0,0,26,34,0,0.0,0,0,34,0,0,0,60,34,0,50,0.0,0.0,17,0,0,0,0,34,0,0.0,0,7,14,0,0,0,0,34,0,0.0,0,46,24,46,0.0,0,0,24,0.0,0,3,27,3,0,0,11,0,21,0,0.0,0,0,16,0,0,0,38,34,10,0.0,0,4,3,0.5,0.0,0.0,0.0,0.5,0,0,0,34,27,3,0.0,0.0,3,0,0,0,0,34,0,0,0.0,0,34,0,40,0.0,41,34,0,0,0,0,34,20,22,0,0,34
2017-09,0.0,0.0,0.0,41,11,51,27,25,44,45,44,29,40,35,45,0,22,19,0.0,21,0,24,0,41,47,41,0,0,0,47,0.0,0.0,0.0,0.0,0.5,0,19,0,0,47,0,0,0,0,47,0,73,0,0,33,0,0,0.0,0.0,47,41,9,8,0,11,14,0,0,0.0,29,0.0,0,0,62,47,0,0.0,0,0,47,0,0,0,63,47,0,42,0.0,0.0,22,0,0,0,0,47,0,0.0,0,7,19,0,0,0,0,47,0,0.0,0,59,33,59,0.0,0,0,33,0.0,0,4,30,4,0,0,12,0,29,0,0.0,0,0,22,0,0,0,27,47,9,0.0,0,2,4,0.5,0.0,0.0,0.0,0.5,0,0,0,47,30,2,3.0,0.0,4,0,0,0,0,47,0,0,0.0,0,47,0,30,0.0,39,47,0,0,0,0,47,24,0,0,0,47
2017-10,0.0,0.0,0.0,43,20,45,0,0,43,87,43,36,35,32,87,0,29,29,0.0,41,0,35,0,36,89,36,0,0,0,89,0.5,0.5,0.0,0.0,0.5,0,0,0,0,89,0,0,0,0,89,0,47,0,18,63,25,0,0.0,0.0,89,43,10,10,0,20,18,23,0,0.0,56,0.0,0,0,33,89,0,0.0,0,0,89,0,0,0,61,89,0,45,0.0,0.0,43,0,0,0,0,89,0,0.0,0,7,36,0,0,0,0,89,0,0.0,0,53,63,53,0.0,0,0,63,0.0,0,3,39,7,0,0,36,0,55,0,0.0,0,0,42,0,0,0,26,89,8,0.0,0,4,7,0.5,0.0,0.0,0.0,0.5,0,0,0,89,39,2,2.0,0.0,7,0,0,0,24,89,24,24,0.0,0,89,0,38,0.0,45,89,0,0,0,0,89,34,28,20,0,89
2017-11,0.0,0.0,0.0,58,15,50,17,18,47,66,47,23,27,25,66,0,24,24,0.0,31,0,37,15,47,67,47,0,0,0,67,0.5,0.5,0.0,0.0,0.5,0,16,0,0,67,0,0,0,0,67,0,59,0,16,48,23,0,0.0,0.0,67,58,11,9,3,15,22,22,11,0.0,42,0.0,0,0,34,67,0,0.0,0,0,67,0,0,0,48,67,0,58,0.0,0.0,32,0,0,0,0,67,0,0.0,0,0,27,0,0,0,0,67,0,0.0,0,41,48,41,0.0,0,0,48,1.0,0,2,51,5,0,0,43,0,42,0,0.0,0,0,32,0,14,0,33,67,10,0.0,0,2,5,1.0,0.0,0.0,0.0,0.5,0,0,0,67,51,3,2.0,0.0,5,0,0,0,19,67,19,19,0.0,18,67,18,25,0.0,40,67,0,0,0,0,67,38,39,0,0,67
2017-12,0.0,0.0,0.0,82,12,55,0,0,42,53,42,29,27,28,53,0,27,24,0.0,25,0,39,0,40,54,40,0,0,0,54,0.5,0.5,0.0,0.0,0.5,0,24,0,0,54,0,14,0,0,54,0,53,0,15,39,22,0,0.0,0.0,54,82,10,10,5,12,37,34,9,0.0,34,0.0,0,0,33,54,0,0.0,0,0,54,0,0,0,65,54,0,44,0.0,0.0,26,0,0,0,0,54,0,0.0,0,6,22,0,0,0,0,54,0,0.0,0,46,39,46,0.0,0,0,39,2.0,0,3,23,4,0,0,17,0,34,0,0.0,0,0,26,0,0,0,20,54,8,0.0,0,5,4,1.0,0.0,0.0,0.0,0.5,0,0,0,54,23,3,3.0,1.0,4,0,0,0,14,54,14,14,0.0,21,54,21,45,0.0,52,54,0,0,0,0,54,31,35,0,0,54
2018-01,0.0,0.0,0.0,65,10,74,15,16,43,41,43,26,28,23,41,0,26,24,0.0,19,0,31,0,29,42,29,0,12,0,42,0.0,0.0,0.0,0.0,0.5,0,22,0,0,42,0,0,0,0,42,0,85,0,16,30,23,0,0.0,0.0,42,65,7,6,3,10,25,21,11,0.0,26,0.0,0,0,39,42,0,0.0,0,0,42,0,0,0,58,42,0,56,0.0,0.0,20,0,0,0,0,42,0,0.0,0,6,17,0,0,0,0,42,0,0.0,0,49,30,49,0.0,0,0,30,1.0,0,2,19,3,0,0,13,0,26,0,0.0,0,0,20,0,0,0,28,42,7,0.0,0,4,3,1.0,0.0,0.0,0.0,0.5,0,0,0,42,19,3,2.0,1.0,3,0,13,0,0,42,0,0,0.0,0,42,0,38,0.0,64,42,0,0,0,0,42,25,23,0,0,42
2018-02,0.0,0.0,0.0,53,13,59,12,17,52,57,52,19,25,21,57,0,28,27,0.0,27,0,32,0,28,58,28,0,0,0,58,0.0,0.0,0.0,0.0,0.5,0,14,0,0,58,0,0,0,0,58,0,65,0,25,41,35,0,0.0,0.0,58,53,10,10,4,13,22,21,0,0.0,37,0.0,0,0,37,58,0,0.0,0,0,58,0,0,0,56,58,0,49,0.0,0.0,28,0,0,0,0,58,0,0.0,0,10,23,0,0,0,0,58,0,0.0,0,39,41,39,0.0,0,0,41,1.0,0,3,18,5,0,0,8,0,36,0,0.0,0,0,28,0,0,0,18,58,9,0.0,0,4,5,0.5,0.0,0.0,0.0,0.5,0,0,0,58,18,3,0.0,0.0,5,0,13,0,0,58,0,0,0.0,0,58,0,43,0.0,39,58,12,0,0,0,58,37,33,0,0,58
2018-03,0.0,0.0,0.0,45,11,38,17,11,25,47,25,26,25,19,47,0,34,33,0.0,22,0,31,12,36,48,36,0,0,0,48,0.5,0.5,0.0,0.0,0.5,0,15,0,0,48,0,0,0,0,48,0,54,9,21,34,29,0,0.0,0.0,48,45,10,11,0,11,18,18,0,0.0,30,0.0,0,0,36,48,0,0.0,0,0,48,0,0,0,60,48,0,51,0.0,0.0,23,0,0,0,0,48,0,0.0,5,13,19,0,0,0,0,48,0,0.0,0,49,34,49,0.0,0,0,34,0.0,0,3,16,4,0,0,9,0,30,0,0.0,0,5,23,0,0,0,29,48,9,0.0,0,3,4,0.5,0.0,0.0,0.0,0.5,0,0,0,48,16,2,2.0,0.0,4,12,17,0,21,48,21,21,0.0,0,48,0,24,0.0,43,48,0,0,0,0,48,34,40,0,0,48
2018-04,0.0,0.0,0.0,48,17,33,19,19,15,71,15,23,23,19,71,0,32,34,0.0,33,0,25,0,49,73,49,0,0,0,73,0.5,0.5,0.0,0.0,0.5,0,17,0,0,73,0,0,0,0,73,0,57,0,19,52,27,0,0.0,0.0,73,48,8,8,4,17,32,31,0,0.0,46,0.0,0,0,37,73,0,0.0,0,0,73,0,0,0,65,73,0,49,0.0,0.0,35,0,0,0,0,73,7,0.0,5,9,29,0,0,0,0,73,0,0.0,0,48,52,48,0.0,0,0,52,2.0,0,4,14,6,0,8,0,0,45,0,0.0,0,0,34,0,0,0,24,73,8,0.0,0,2,6,0.5,0.0,0.0,0.0,0.5,0,0,0,73,14,3,2.0,0.0,6,0,0,0,12,73,12,12,0.0,0,73,0,30,0.0,45,73,0,0,0,0,73,22,23,0,0,73
2018-05,0.0,0.0,0.0,56,13,34,12,10,29,57,29,22,28,27,57,0,46,46,0.0,27,0,50,15,26,58,26,0,0,0,58,0.5,0.5,0.0,0.0,0.5,0,11,0,0,58,18,13,0,0,58,0,49,7,22,41,30,0,0.0,0.0,58,56,12,12,2,13,57,52,0,0.0,37,0.0,0,0,44,58,0,0.0,0,0,58,0,0,0,59,58,0,44,0.0,0.0,28,0,0,0,0,58,0,0.0,9,6,23,0,0,0,0,58,0,0.0,0,55,41,55,0.0,0,0,41,1.0,0,3,18,5,0,0,13,0,36,0,0.0,8,5,27,0,0,0,30,58,8,0.0,0,3,5,1.0,0.0,0.0,0.0,0.5,0,16,16,58,18,3,1.0,0.0,5,0,0,0,0,58,0,0,0.0,0,58,0,39,0.0,42,58,0,0,0,0,58,25,25,0,0,58
2018-06,0.0,0.0,0.0,52,12,35,18,15,43,51,43,22,21,21,51,0,32,32,0.0,24,0,51,14,30,52,30,0,0,0,52,0.0,0.0,0.0,0.0,0.5,0,0,0,0,52,14,11,0,0,52,0,46,0,11,37,15,0,0.0,0.0,52,52,5,8,4,12,22,24,0,0.0,33,0.0,0,0,31,52,0,0.0,0,0,52,0,13,0,63,52,0,57,5.0,0.0,25,0,0,0,0,52,0,0.0,0,8,21,0,0,0,0,52,0,0.0,0,45,37,45,0.0,0,0,37,1.0,0,4,13,4,0,0,8,0,32,0,0.0,0,0,24,0,0,0,31,52,10,0.0,0,3,4,1.0,0.0,0.0,0.0,0.5,0,0,0,52,13,2,1.0,0.0,4,0,0,0,13,52,13,13,0.0,0,52,0,32,0.0,37,52,14,14,13,0,52,16,14,0,0,52
2018-07,0.0,0.0,0.0,51,10,43,12,16,35,45,35,19,18,18,45,0,39,39,0.0,21,0,36,17,31,46,31,0,0,0,46,0.5,0.5,0.0,0.0,0.5,0,15,0,0,46,0,0,0,0,46,0,57,0,17,32,24,0,0.0,0.0,46,51,9,9,2,10,63,64,7,0.0,29,0.0,0,0,29,46,0,0.0,0,0,46,0,0,0,56,46,0,53,0.0,0.0,22,0,0,0,0,46,4,0.0,4,12,18,0,0,0,0,46,0,0.0,0,50,32,50,0.0,0,0,32,1.0,0,3,18,4,0,0,10,0,28,0,0.0,4,7,22,0,0,0,28,46,8,0.0,0,2,4,0.5,0.0,0.0,0.0,0.5,0,0,0,46,18,3,1.0,0.0,4,0,11,0,0,46,0,0,0.0,0,46,0,36,0.0,38,46,0,0,0,0,46,18,15,0,0,46
2018-08,0.0,0.0,0.0,48,10,37,19,18,35,43,35,36,30,33,43,0,30,27,0.0,20,0,24,13,45,44,45,0,0,0,44,0.5,0.5,0.5,0.0,0.5,0,11,0,0,44,11,0,0,11,44,0,54,0,19,31,27,0,0.0,0.0,44,48,11,10,3,10,51,50,8,0.0,28,0.0,0,0,38,44,0,0.0,0,0,44,0,0,0,62,44,0,47,0.0,0.0,21,0,0,0,0,44,5,0.0,0,9,18,0,0,0,0,44,0,0.0,0,47,31,47,0.0,0,0,31,1.0,0,4,26,3,0,0,7,0,27,0,0.0,0,0,21,0,0,0,28,44,11,0.0,0,1,3,0.5,0.0,0.0,0.0,0.5,0,12,12,44,26,3,2.0,0.0,3,13,15,0,11,44,11,11,0.0,0,44,0,45,0.0,43,44,12,17,0,0,44,0,0,0,0,44
2018-09,0.0,0.0,0.0,44,11,39,14,17,36,47,36,31,35,29,47,0,33,33,0.0,22,0,37,14,33,48,33,0,0,0,48,0.5,0.5,0.5,0.0,0.5,0,0,0,0,48,9,0,0,0,48,9,47,0,20,34,28,0,0.0,0.0,48,44,9,9,0,11,44,44,5,0.0,30,0.0,0,0,42,48,0,0.0,0,0,48,0,0,0,65,48,0,47,0.0,0.0,23,0,0,0,0,48,5,0.0,0,7,19,0,0,0,0,48,0,0.0,0,39,34,39,0.0,0,0,34,0.0,0,3,34,4,0,0,29,0,30,0,0.0,0,4,23,9,0,0,33,48,9,0.0,0,1,4,0.5,0.0,0.0,0.0,0.5,0,0,0,48,34,3,2.0,0.0,4,12,9,0,9,48,9,9,0.0,0,48,0,30,0.0,42,48,0,0,0,0,48,0,10,0,0,48
